Name,Qty,Vendor,Product ID,Address
Building block,1,Siskiyou,09360000E,https://www.siskiyou.com/bb-5-0-09360000e.html
Pillar post,2,Thorlabs,RS3,https://www.thorlabs.com/thorproduct.cfm?partnumber=RS3
Lockable Kinematic Breadboard,1,Thorlabs,KBM1,https://www.thorlabs.com/thorproduct.cfm?partnumber=KBM1
"316 Stainless Steel Washer Oversized, 1/4'' Screw Size 0.281'' ID, 1.5'' OD",2,McMaster,91525A128,https://www.mcmaster.com/91525A128/
"Plastic-Head Thumb Screws Two-Arm, 1/4''-20, 1-1/4'' Long",1,McMaster,91185A927,https://www.mcmaster.com/91185A927/
"Tap, 1/4''-20, 1'' Length",1,McMaster,2521A571,https://www.mcmaster.com/2521A571/
Lego Technic Tread Links 3873 Crane Tank Tracks ,1,Amazon,B09898D7Y3 ,https://www.amazon.com/Black-Technic-Tread-Links-Tracks/dp/B09898D7Y3
Technic Gear 24 Tooth with 1 Axle Hole,2,Bricklink,,https://store.bricklink.com/swissmitch?itemID=345839852#/shop
Technic axle Set ,1,Amazon,,https://www.amazon.com/LEGO-10pc-Technic-Mindstorms-robot/dp/B01LW0JJ5G
1/4''-20 Cap Screw Kit ,1,Thorlabs,HW-KIT2,https://www.thorlabs.com/thorproduct.cfm?partnumber=HW-KIT2
Manual manipulator,1,Sutter,MM33-A/R,https://www.sutter.com/MICROMANIPULATION/mm33.html
Adjustable Angle Mounting Plate,1,Thorlabs,AP180,https://www.thorlabs.com/thorproduct.cfm?partnumber=AP180#ad-image-0
Rigid Stand Post Holder,1,Thorlabs,LPH150 ,https://www.thorlabs.com/thorproduct.cfm?partnumber=LPH150
1.5'' Post with 66 mm Rail Clamp,1,Thorlabs,MPP15,https://www.thorlabs.com/thorproduct.cfm?partnumber=MPP15
"Nexus Breadboard 18''x18''x2.4'', 1/4''-20 Holes",1,Thorlabs,B1818F,https://www.thorlabs.com/thorproduct.cfm?partnumber=B1818F
Ultra-Low-Friction Tape Teflon® PTFE Silicone Adhesive,1,McMaster,6305A21,https://www.mcmaster.com/6305A21/
,,,,
**3D printed parts**,,,,
Treadmill.stl,1,,,https://github.com/misiVoroslakos/3D_printed_designs/blob/main/Treadmill_Rinberg/Stl_files/TreadMill.stl
Frame.stl,1,,,https://github.com/misiVoroslakos/3D_printed_designs/blob/main/Treadmill_Rinberg/Stl_files/Frame.stl
Mouse_cover.stl,1,,,https://github.com/misiVoroslakos/3D_printed_designs/blob/main/Treadmill_Rinberg/Stl_files/Mouse_cover.stl
Left_clamp.stl,1,,,https://github.com/misiVoroslakos/3D_printed_designs/blob/main/Treadmill_Rinberg/Stl_files/Left_clamp.stl
Right_clamp.stl,1,,,https://github.com/misiVoroslakos/3D_printed_designs/blob/main/Treadmill_Rinberg/Stl_files/Right_clamp.stl
,,,,
**Analog motion sensor**,,,,
"Magnetized Through Thickness 1/8'' Thick, 3/8'' OD",1,McMaster,5862K104,https://www.mcmaster.com/5862K104/
Hall effect sensor,1,Digi-Key,HE608-ND,https://www.digikey.com/en/products/detail/55300-00-02-A/HE608-ND/3929578
,,,,
**3D printed parts**,,,,
Magnet_holder.stl,1,,,https://github.com/misiVoroslakos/3D_printed_designs/blob/main/Treadmill_Rinberg/Stl_files/Magnet_holder.stl
Hall_sensor_holder.stl,1,,,https://github.com/misiVoroslakos/3D_printed_designs/blob/main/Treadmill_Rinberg/Stl_files/Hall_sensor_holder.stl
,,,,
DC Power supply,1,Mouser,372-E3620A-EU ,https://www.mouser.com/ProductDetail/Keysight/E3620A-0E3-902?qs=YCa%2FAAYMW01pesiAWZFwdw%3D%3D
BNC Screw terminal,2,Mouser,992-BNC-F-TERM-S ,https://www.mouser.com/ProductDetail/Gravitech/BNC-F-TERM-S?qs=unwgFEO1A6tHUOL9IlhrFA%3D%3D
BNC to banana,1,Mouser,548-BU-P1269 ,https://www.mouser.com/ProductDetail/Mueller-Electric/BU-P1269?qs=EO%252B2iqeaG014HiMHYKj2Vw%3D%3D
